participant.label,conjoint_app.1.player.device_type,conjoint_app.1.player.operating_system,conjoint_app.1.player.browser,conjoint_app.1.player.lang,conjoint_app.1.player.use_of_device,demographic_app.1.player.rent,demographic_app.1.player.income,demographic_app.1.player.edu_father,demographic_app.1.player.edu_mother,demographic_app.1.player.ocu_father,demographic_app.1.player.ocu_mother,demographic_app.1.player.age,demographic_app.1.player.gender,demographic_app.1.player.postcode,demographic_app.1.player.tutorial,demographic_app.1.player.grade,network_app.1.player.linksrechts_self,political_app.1.player.sunday_party_vote,political_app.1.player.scalo_bsw,index_politics_question,index_int_criminal_scalo,index_government_scalo,index_opposition_scalo,index_int_goodies_scalo,index_left_party_scalo,index_right_party_scalo
wer,3.0,2.0,3.0,1.0,2.0,,,3.0,2.0,0.0,0.0,45.0,2.0,45.0,5.0,3.0,,0.0,,5.0,,-1.5,,2.0,2.0,-2.5
ttz,3.0,2.0,3.0,0.0,2.0,,,2.0,1.0,0.0,1.0,56.0,1.0,56.0,5.0,2.7,,0.0,,,,,,,,
kru,3.0,2.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,22.0,1.0,88.0,6.0,,,3.0,-3.0,3.142857142857143,-3.6666666666666665,0.4,-2.8,0.25,1.0,-1.75
4yx,2.0,5.0,3.0,0.0,3.0,,,1.0,1.0,0.0,0.0,27.0,1.0,89.0,4.0,2.7,,3.0,-4.0,3.5714285714285716,-3.3333333333333335,2.4,-4.2,0.25,2.3333333333333335,-2.75
qew,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,0.0,1.0,19.0,2.0,78.0,6.0,3.7,1.0,5.0,-5.0,4.142857142857143,-5.0,-0.8,-4.6,-1.25,0.6666666666666666,-4.75
k9w,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,1.0,19.0,2.0,76.0,1.0,2.0,5.0,3.0,-5.0,3.857142857142857,-5.0,1.2,-3.8,-0.25,1.0,-1.25
3ab,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,1.0,20.0,2.0,79.0,4.0,3.0,,1.0,-4.0,4.0,-4.333333333333333,1.2,-3.8,0.25,1.0,-2.25
ngv,3.0,1.0,2.0,0.0,1.0,,,4.0,2.0,0.0,1.0,19.0,1.0,50.0,2.0,2.7,,5.0,-5.0,3.857142857142857,-5.0,0.4,-5.0,0.75,3.0,-4.75
k4w,2.0,4.0,3.0,0.0,3.0,,,3.0,2.0,0.0,1.0,26.0,1.0,78.0,5.0,4.0,,2.0,-5.0,3.7142857142857144,-3.6666666666666665,0.0,-2.4,-0.5,-1.3333333333333333,-0.75
dnk,3.0,1.0,3.0,0.0,1.0,,,1.0,0.0,1.0,1.0,19.0,1.0,73.0,4.0,2.3,3.0,3.0,-3.0,4.0,-5.0,0.4,-4.6,-0.5,2.3333333333333335,-4.5
tdq,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,0.0,19.0,2.0,0.0,7.0,2.3,2.0,0.0,-5.0,4.142857142857143,-5.0,2.2,-3.2,-0.5,3.3333333333333335,-1.25
rf4,3.0,1.0,4.0,0.0,1.0,,,1.0,3.0,0.0,0.0,27.0,2.0,78.0,6.0,,,0.0,0.0,3.0,-4.0,-3.6,-4.0,-1.75,-0.3333333333333333,-2.5
b3p,3.0,2.0,3.0,0.0,1.0,,,3.0,1.0,1.0,1.0,25.0,1.0,88.0,4.0,2.3,,3.0,-5.0,3.857142857142857,-3.0,2.2,-3.8,1.75,1.6666666666666667,-1.5
4x3,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,22.0,1.0,78.0,4.0,2.0,7.0,8.0,0.0,4.428571428571429,-3.3333333333333335,1.6,-2.6,0.75,1.0,-0.25
gcu,3.0,2.0,3.0,0.0,1.0,,,2.0,4.0,1.0,1.0,21.0,2.0,64.0,2.0,1.3,,3.0,-4.0,3.7142857142857144,-4.666666666666667,2.5,-4.0,-2.0,2.6666666666666665,-2.75
c9f,2.0,4.0,3.0,0.0,3.0,,,1.0,1.0,1.0,1.0,23.0,2.0,89.0,,3.0,11.0,1.0,-5.0,2.2857142857142856,-4.666666666666667,0.4,-2.6,2.25,2.6666666666666665,-1.75
yuc,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,1.0,19.0,1.0,88.0,2.0,2.7,3.0,3.0,,3.142857142857143,-3.3333333333333335,0.3333333333333333,-2.8,0.0,2.0,-3.25
ent,3.0,1.0,5.0,0.0,1.0,,,1.0,1.0,1.0,1.0,19.0,1.0,71.0,5.0,3.0,1.0,5.0,-5.0,4.285714285714286,-5.0,2.2,-4.6,0.75,3.6666666666666665,-3.5
eh3,2.0,4.0,3.0,0.0,2.0,,,4.0,1.0,1.0,0.0,21.0,2.0,83.0,1.0,2.3,,2.0,-2.0,3.857142857142857,-2.6666666666666665,-1.0,-1.0,-2.5,-2.6666666666666665,2.25
bs3,3.0,1.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,19.0,1.0,97.0,6.0,2.3,,1.0,-5.0,4.0,-4.0,2.6,-4.0,1.25,4.0,-2.5
t94,3.0,2.0,3.0,0.0,2.0,,,2.0,2.0,1.0,1.0,21.0,1.0,89.0,2.0,2.3,4.0,3.0,-3.0,3.5714285714285716,-4.666666666666667,0.6,-3.0,2.0,0.3333333333333333,-2.5
gye,3.0,1.0,5.0,0.0,1.0,,,3.0,3.0,1.0,1.0,18.0,2.0,71.0,2.0,,5.0,3.0,-5.0,3.4285714285714284,-5.0,-1.75,-5.0,-3.25,-2.3333333333333335,-4.5
tpu,3.0,2.0,3.0,1.0,1.0,,,4.0,4.0,1.0,1.0,21.0,1.0,0.0,,3.7,,0.0,,2.5,-4.666666666666667,,,1.3333333333333333,,
wfr,2.0,5.0,3.0,0.0,3.0,,,4.0,2.0,1.0,0.0,21.0,2.0,0.0,6.0,2.7,,2.0,-5.0,3.4285714285714284,-2.6666666666666665,-1.8,1.0,-0.25,-2.6666666666666665,3.25
m49,3.0,2.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,23.0,1.0,78.0,2.0,2.3,2.0,3.0,-5.0,3.7142857142857144,-5.0,-0.4,-5.0,0.25,0.0,-4.75
ugr,3.0,1.0,3.0,0.0,1.0,,,4.0,,1.0,0.0,19.0,1.0,78.0,3.0,3.7,3.0,3.0,-5.0,3.857142857142857,-4.666666666666667,1.8,-4.8,0.75,2.3333333333333335,-3.0
yg9,3.0,3.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,19.0,1.0,88.0,2.0,2.7,,7.0,0.0,3.4285714285714284,-3.3333333333333335,-3.2,-2.2,-1.75,-3.6666666666666665,-3.75
xyb,3.0,1.0,5.0,1.0,1.0,,,4.0,4.0,1.0,1.0,22.0,1.0,0.0,1.0,4.0,3.0,0.0,-4.0,2.3333333333333335,-5.0,-3.0,,0.0,0.6666666666666666,-3.25
ktd,3.0,2.0,3.0,0.0,2.0,,,4.0,3.0,1.0,1.0,18.0,1.0,88.0,4.0,3.0,4.0,3.0,-5.0,3.5714285714285716,-5.0,1.6,-3.4,1.0,4.333333333333333,-1.5
mry,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,20.0,2.0,77.0,1.0,3.0,5.0,1.0,-4.0,3.5714285714285716,-3.6666666666666665,1.8,-3.4,0.25,-1.0,-0.5
dss,3.0,2.0,3.0,0.0,2.0,,,2.0,2.0,1.0,1.0,19.0,1.0,78.0,7.0,2.0,1.0,0.0,,3.857142857142857,-1.0,0.0,0.0,0.5,1.0,-0.25
qay,3.0,2.0,3.0,0.0,1.0,,,3.0,0.0,0.0,0.0,22.0,1.0,79.0,7.0,2.0,,5.0,,3.3333333333333335,-5.0,-1.0,-3.5,0.0,2.6666666666666665,-1.0
hn9,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,20.0,2.0,72.0,2.0,2.7,11.0,6.0,-5.0,3.7142857142857144,-0.3333333333333333,-3.0,0.2,-2.75,-4.666666666666667,-0.25
qx3,3.0,3.0,3.0,0.0,2.0,,,3.0,1.0,1.0,1.0,19.0,1.0,78.0,1.0,2.7,3.0,1.0,-5.0,3.857142857142857,-5.0,1.6,-4.4,-1.0,2.6666666666666665,-4.5
mcb,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,21.0,2.0,64.0,4.0,2.3,6.0,4.0,-5.0,3.857142857142857,-1.3333333333333333,-2.2,-3.2,-3.0,-4.333333333333333,1.0
ryn,2.0,4.0,3.0,0.0,2.0,,,2.0,2.0,1.0,1.0,24.0,1.0,22.0,1.0,,,3.0,-3.0,3.2857142857142856,-3.0,1.0,-2.6,0.75,2.6666666666666665,-1.25
nut,2.0,4.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,19.0,1.0,45.0,3.0,2.0,5.0,4.0,-5.0,4.0,-3.6666666666666665,0.6,-4.6,-0.25,0.6666666666666666,-1.75
fqt,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,23.0,2.0,71.0,1.0,2.7,3.0,3.0,-4.0,3.7142857142857144,-5.0,-3.0,-4.8,-1.75,0.6666666666666666,-4.0
hof,2.0,5.0,3.0,0.0,2.0,,,0.0,0.0,,0.0,24.0,1.0,78.0,7.0,2.0,,3.0,1.0,3.0,-0.5,1.2,0.4,1.0,2.0,0.5
mdx,3.0,2.0,3.0,0.0,2.0,,,,1.0,0.0,1.0,19.0,2.0,78.0,1.0,2.7,6.0,2.0,-3.0,3.5714285714285716,-3.3333333333333335,-1.6,-2.4,-1.75,-2.6666666666666665,-3.0
bqr,2.0,4.0,3.0,0.0,3.0,,,3.0,1.0,1.0,1.0,19.0,2.0,70.0,5.0,2.7,5.0,5.0,-2.0,3.7142857142857144,-4.666666666666667,0.0,-3.2,1.0,2.3333333333333335,-3.0
spg,2.0,5.0,3.0,0.0,2.0,,,1.0,4.0,1.0,1.0,19.0,1.0,72.0,3.0,3.3,4.0,1.0,-3.0,4.0,-4.666666666666667,2.6,-3.4,-0.25,3.6666666666666665,-1.0
4yf,3.0,1.0,3.0,0.0,1.0,,,4.0,2.0,1.0,1.0,22.0,2.0,72.0,7.0,3.3,4.0,5.0,-5.0,3.142857142857143,-5.0,-2.0,-4.0,-0.5,0.0,-3.5
hvs,3.0,2.0,3.0,0.0,1.0,,,3.0,2.0,1.0,1.0,22.0,1.0,78.0,6.0,2.0,,2.0,-5.0,3.4285714285714284,-2.0,-3.6,-3.6,-3.75,-4.0,1.25
rht,3.0,2.0,3.0,0.0,2.0,,,,3.0,1.0,1.0,20.0,1.0,67.0,7.0,,,3.0,-5.0,4.142857142857143,-4.333333333333333,0.0,-4.0,1.3333333333333333,-1.0,-2.0
9he,3.0,2.0,3.0,0.0,2.0,,,3.0,1.0,1.0,1.0,23.0,1.0,75.0,4.0,2.0,,2.0,-2.0,4.0,-2.6666666666666665,-2.6,0.8,-0.25,-3.3333333333333335,1.0
dmd,3.0,1.0,3.0,1.0,1.0,,,3.0,3.0,,1.0,19.0,2.0,0.0,8.0,2.3,6.0,0.0,-1.0,3.5714285714285716,-1.0,0.25,0.0,0.5,-1.0,-0.25
tuw,3.0,1.0,4.0,0.0,1.0,,,4.0,4.0,1.0,1.0,19.0,2.0,55.0,4.0,2.0,3.0,3.0,-5.0,4.714285714285714,-5.0,1.4,-4.6,1.5,3.3333333333333335,-4.25
cnu,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,,1.0,19.0,1.0,70.0,5.0,3.0,3.0,3.0,-5.0,4.0,-5.0,2.0,-4.8,-1.0,3.0,-3.25
v3e,3.0,2.0,3.0,0.0,2.0,,,2.0,3.0,1.0,1.0,20.0,1.0,22.0,3.0,2.3,5.0,2.0,-4.0,5.0,-4.0,-3.6,-3.4,-3.5,-1.6666666666666667,-2.75
e4u,3.0,2.0,3.0,0.0,1.0,,,3.0,4.0,1.0,1.0,26.0,2.0,89.0,1.0,2.3,5.0,3.0,0.0,3.7142857142857144,0.6666666666666666,0.0,-3.0,-1.5,0.0,-1.75
yer,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,19.0,2.0,78.0,4.0,2.7,4.0,3.0,-1.0,3.857142857142857,-5.0,2.8,-1.75,-1.25,1.6666666666666667,-0.75
vrm,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,20.0,1.0,64.0,7.0,2.3,3.0,3.0,-3.0,3.4285714285714284,-5.0,1.2,-3.8,1.5,3.0,-3.25
vnb,3.0,1.0,3.0,0.0,1.0,,,1.0,1.0,0.0,0.0,22.0,2.0,42.0,2.0,2.0,,0.0,,4.6,-2.3333333333333335,-1.2,-2.0,-1.25,-1.3333333333333333,-1.25
3x9,3.0,1.0,2.0,1.0,1.0,,,3.0,1.0,1.0,0.0,23.0,1.0,70.0,8.0,3.3,,8.0,-1.0,3.142857142857143,-5.0,-0.4,-4.0,-0.5,-0.3333333333333333,-4.25
hmu,3.0,1.0,2.0,0.0,1.0,,,1.0,1.0,1.0,1.0,18.0,1.0,78.0,4.0,3.7,9.0,1.0,-4.0,3.142857142857143,-5.0,1.2,-4.4,-0.25,4.666666666666667,-4.0
kwc,2.0,5.0,3.0,0.0,2.0,,,3.0,4.0,0.0,1.0,18.0,1.0,88.0,7.0,,3.0,3.0,-5.0,4.0,-5.0,1.2,-5.0,0.5,3.0,-4.0
uge,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,21.0,2.0,71.0,,4.0,,2.0,0.0,4.666666666666667,-1.6666666666666667,-0.75,-0.8,-1.75,-4.333333333333333,2.5
ecd,3.0,2.0,3.0,0.0,2.0,,,4.0,2.0,1.0,1.0,19.0,1.0,73.0,7.0,,,5.0,-5.0,3.5714285714285716,-5.0,2.2,-4.2,1.0,4.0,-3.0
49w,3.0,2.0,3.0,0.0,2.0,,,3.0,3.0,1.0,1.0,19.0,1.0,88.0,4.0,,2.0,1.0,-5.0,3.7142857142857144,-5.0,-1.6,-4.8,-0.25,2.3333333333333335,-3.0
ahn,3.0,2.0,3.0,0.0,2.0,,,3.0,1.0,1.0,1.0,22.0,1.0,88.0,4.0,3.7,,8.0,0.0,3.0,-5.0,-1.8,-3.8,-1.0,2.0,-1.0
bpy,3.0,1.0,4.0,0.0,1.0,,,4.0,3.0,1.0,1.0,19.0,,76.0,4.0,2.3,3.0,3.0,-5.0,3.4285714285714284,-4.0,0.4,-4.0,0.5,2.0,-0.75
pgx,3.0,2.0,3.0,0.0,2.0,,,3.0,1.0,1.0,1.0,20.0,1.0,78.0,5.0,2.0,3.0,3.0,-4.0,3.857142857142857,-5.0,1.0,-2.6,1.0,3.0,-1.25
rbb,2.0,5.0,3.0,0.0,2.0,,,2.0,3.0,1.0,1.0,20.0,2.0,0.0,5.0,2.7,5.0,3.0,-2.0,4.0,-5.0,0.0,-2.6,-1.25,1.6666666666666667,-1.5
3eh,3.0,1.0,5.0,0.0,1.0,,,2.0,3.0,1.0,1.0,20.0,2.0,79.0,5.0,3.0,4.0,1.0,-2.0,4.142857142857143,-3.6666666666666665,0.2,-3.2,-2.0,0.0,-3.5
fv4,3.0,2.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,19.0,1.0,71.0,7.0,2.3,3.0,3.0,-5.0,2.8,-5.0,1.0,-4.4,1.25,1.6666666666666667,-2.75
sva,2.0,4.0,3.0,0.0,2.0,,,1.0,3.0,1.0,1.0,20.0,2.0,21.0,4.0,3.3,,1.0,-5.0,3.8333333333333335,-5.0,-1.0,-5.0,-0.5,-0.3333333333333333,-4.75
fvy,3.0,2.0,3.0,0.0,2.0,,,1.0,3.0,1.0,1.0,20.0,2.0,88.0,5.0,1.7,6.0,1.0,-4.0,3.5714285714285716,-5.0,-0.4,-4.4,-1.75,2.3333333333333335,-3.75
3xt,3.0,2.0,3.0,0.0,2.0,,,1.0,3.0,1.0,1.0,18.0,2.0,78.0,7.0,1.7,8.0,2.0,0.0,3.7142857142857144,-1.0,-1.2,0.0,-1.0,-2.6666666666666665,2.5
yfk,2.0,5.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,19.0,1.0,71.0,3.0,2.7,3.0,3.0,-5.0,4.285714285714286,-4.666666666666667,0.8,-5.0,0.5,3.0,-4.25
hch,3.0,2.0,3.0,0.0,2.0,,,2.0,2.0,1.0,1.0,21.0,1.0,88.0,6.0,2.0,,4.0,-5.0,3.5714285714285716,-3.3333333333333335,1.25,-5.0,0.0,0.0,0.6666666666666666
uhg,3.0,2.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,20.0,1.0,73.0,2.0,2.0,3.0,3.0,-5.0,3.2857142857142856,-4.666666666666667,2.2,-4.8,1.25,2.6666666666666665,-3.5
ktb,3.0,1.0,3.0,1.0,1.0,,,,1.0,,1.0,19.0,1.0,0.0,8.0,2.3,3.0,0.0,,3.2,-2.6666666666666665,0.0,,0.3333333333333333,,
nrn,3.0,2.0,3.0,0.0,2.0,,,3.0,1.0,1.0,1.0,19.0,1.0,21.0,2.0,2.3,3.0,3.0,-5.0,3.5714285714285716,-4.0,2.2,-4.6,1.25,2.0,-4.0
mbv,2.0,5.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,19.0,2.0,78.0,4.0,3.0,7.0,2.0,1.0,4.142857142857143,-3.3333333333333335,-0.8,2.4,-1.25,-2.0,4.25
th3,3.0,2.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,22.0,1.0,89.0,4.0,,,8.0,-5.0,3.4285714285714284,-5.0,-1.6,-4.8,-0.25,0.3333333333333333,-4.75
