,Variable,Wave 1,Wave 2,Wave 3,Labels,Page,German Question,English Question,Values
Device Type,conjoint_app.1.player.device_type,Yes,Yes,Yes,Auto,Welcome - ConjointApp,- ,- ,1 = Tablet; 2 = Mobile; 3 = else
Operating System,conjoint_app.1.player.operating_system,Yes,Yes,Yes,Auto,Welcome - ConjointApp,-,-,1 = Windows; 2 = Mac; 3 = Linux; 4 = Android; 5 = like Mac; -999 = else
Browser,conjoint_app.1.player.browser	,Yes,Yes,Yes,Auto,Welcome - ConjointApp,- ,-,1 = Chrome; 2 = Firefox; 3 = Safari; 4 = Opera; 5 = Edge; -999 = else
Language,conjoint_app.1.player.lang	,Yes,Yes,Yes,Selection,Welcome - ConjointApp,"""Bitte wählen Sie Ihre präferierte Sprache aus.""","""Please select your preferred language for the survey.""",0 = Deutsch; 1 = English
Device Type (Asked),conjoint_app.1.player.use_of_device	,Yes,Yes,Yes,Selection,Welcome - ConjointApp,"“Was für ein Gerät nutzen Sie, um diese Befragung durchzuführen?”",“What kind of device do you use to conduct this survey?”,1 = Laptop; 2 = Tablet; 3 = Smartphone
Start Time,conjoint_app.1.player.time_start	,Yes,Yes,Yes,Auto,Welcome - ConjointApp,-,-,-
Rent,demographic_app.1.player.rent,Yes,Yes,Yes,Field,Financial - DemographicApp,"""Bitte geben Sie Ihre Monatsmiete in Euro(€) an. Wenn Sie zu Hause leben und keine Miete zahlen, geben Sie '0' an.""","""Please enter your monthly rent, in euros (€). If you live at home and do not pay rent, enter '0'.""",
Income,demographic_app.1.player.income,Yes,Yes,Yes,Field,Financial - DemographicApp,"""Bitte geben Sie Ihr verfügbares monatliches Einkommen in Euro(€) an.""","""Please enter your monthly disposable income in euros (€).""",
School Father,demographic_app.1.player.school_father	,No,No,Yes,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie den höchsten Schulabschluss an, den Ihr Vater erreicht hat.""","""Please select the highest school education level reached by your father.""",0 = School Graduation without Degree; 1 = Primary School Graduation with Degree; 2 = Secondary School Graduation; 3 = Higher School without Graduation; 4 = High School Graduation; 5 = Other Degree; -999 = No answer
School Father,demographic_app.1.player.school_father	,No,No,Yes,Selection,LevelFamily - DemographicApp,"""Bitte geben Sie den höchsten Schulabschluss an, den Ihr Vater erreicht hat.""","""Please select the highest school education level reached by your father.""",0 = School Graduation without Degree; 1 = Primary School Graduation with Degree; 2 = Secondary School Graduation; 3 = Higher School without Graduation; 4 = High School Graduation; 5 = Other Degree; -999 = No answer
